股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh600002,齐鲁石化,1998/11/5,4.42,4.49,4.35,4.45,4.42,1402638,6193961,1557500000,8677500000
sh600002,齐鲁石化,1998/11/6,4.47,4.53,4.43,4.52,4.45,2242387,10030530,1582000000,8814000000
sh600002,齐鲁石化,1998/11/9,4.53,4.67,4.52,4.6,4.52,3757559,17333594,1610000000,8970000000
sh600002,齐鲁石化,1998/11/10,4.6,4.68,4.55,4.64,4.6,2758777,12710182,1624000000,9048000000
sh600002,齐鲁石化,1998/11/11,4.64,4.64,4.53,4.63,4.64,1380943,6308831,1620500000,9028500000
sh600002,齐鲁石化,1998/11/12,4.6,4.68,4.5,4.68,4.63,5094193,23463345,1638000000,9126000000
sh600002,齐鲁石化,1998/11/13,4.67,4.67,4.59,4.63,4.68,2370876,10956752,1620500000,9028500000
sh600002,齐鲁石化,1998/11/16,4.63,4.64,4.55,4.62,4.63,1342200,6170726,1617000000,9009000000
sh600002,齐鲁石化,1998/11/17,4.62,4.77,4.62,4.67,4.62,3060484,14362089,1634500000,9106500000
sh600002,齐鲁石化,1998/11/18,4.65,4.66,4.55,4.55,4.67,1286300,5930384,1592500000,8872500000
sh600002,齐鲁石化,1998/11/19,4.58,4.65,4.54,4.57,4.55,1008800,4612706,1599500000,8911500000
sh600002,齐鲁石化,1998/11/20,4.55,4.56,4.5,4.51,4.57,851200,3846369,1578500000,8794500000
sh600002,齐鲁石化,1998/11/23,4.51,4.6,4.5,4.52,4.51,1224090,5545055,1582000000,8814000000
sh600002,齐鲁石化,1998/11/24,4.52,4.59,4.5,4.51,4.52,1112530,5051304,1578500000,8794500000
sh600002,齐鲁石化,1998/11/25,4.53,4.55,4.46,4.47,4.51,944500,4255705,1564500000,8716500000
sh600002,齐鲁石化,1998/11/26,4.45,4.49,4.42,4.43,4.47,1056400,4709717,1550500000,8638500000
sh600002,齐鲁石化,1998/11/27,4.44,4.46,4.4,4.41,4.43,716458,3173674,1543500000,8599500000
sh600002,齐鲁石化,1998/11/30,4.4,4.43,4.39,4.43,4.41,720071,3173034,1550500000,8638500000
sh600002,齐鲁石化,1998/12/1,4.44,4.48,4.38,4.38,4.43,626490,2754337,1533000000,8541000000
sh600002,齐鲁石化,1998/12/2,4.38,4.39,4.35,4.37,4.38,818000,3575916,1529500000,8521500000
sh600002,齐鲁石化,1998/12/3,4.4,4.4,4.37,4.38,4.37,649700,2846058,1533000000,8541000000
sh600002,齐鲁石化,1998/12/4,4.38,4.38,4.32,4.34,4.38,879200,3827729,1519000000,8463000000
sh600002,齐鲁石化,1998/12/7,4.38,4.46,4.36,4.37,4.34,713300,3127994,1529500000,8521500000
sh600002,齐鲁石化,1998/12/8,4.37,4.5,4.36,4.46,4.37,722100,3184436,1561000000,8697000000
sh600002,齐鲁石化,1998/12/9,4.46,4.52,4.4,4.51,4.46,1294293,5793026,1578500000,8794500000
sh600002,齐鲁石化,1998/12/10,4.51,4.54,4.39,4.42,4.51,668950,2969701,1547000000,8619000000
sh600002,齐鲁石化,1998/12/11,4.4,4.62,4.36,4.56,4.42,2562405,11595279,1596000000,8892000000
sh600002,齐鲁石化,1998/12/14,4.58,4.67,4.52,4.53,4.56,3800649,17541887,1585500000,8833500000
sh600002,齐鲁石化,1998/12/15,4.52,4.57,4.43,4.55,4.53,1926680,8654951,1592500000,8872500000
sh600002,齐鲁石化,1998/12/16,4.55,4.55,4.46,4.47,4.55,448800,2018015,1564500000,8716500000
sh600002,齐鲁石化,1998/12/17,4.45,4.46,4.36,4.38,4.47,1022098,4513883,1533000000,8541000000
sh600002,齐鲁石化,1998/12/18,4.38,4.44,4.38,4.39,4.38,778534,3422992,1536500000,8560500000
sh600002,齐鲁石化,1998/12/21,4.39,4.44,4.38,4.39,4.39,588025,2588257,1536500000,8560500000
sh600002,齐鲁石化,1998/12/22,4.42,4.47,4.39,4.47,4.39,627950,2787850,1564500000,8716500000
sh600002,齐鲁石化,1998/12/23,4.47,4.47,4.4,4.42,4.47,540899,2390396,1547000000,8619000000
sh600002,齐鲁石化,1998/12/24,4.46,4.46,4.38,4.39,4.42,598750,2634180,1536500000,8560500000
sh600002,齐鲁石化,1998/12/25,4.39,4.48,4.38,4.45,4.39,790658,3497783,1557500000,8677500000
sh600002,齐鲁石化,1998/12/28,4.44,4.48,4.38,4.39,4.45,705042,3101971,1536500000,8560500000
sh600002,齐鲁石化,1998/12/29,4.39,4.4,4.34,4.34,4.39,864150,3774948,1519000000,8463000000
sh600002,齐鲁石化,1998/12/30,4.36,4.37,4.28,4.3,4.34,2164100,9355731,1505000000,8385000000
sh600002,齐鲁石化,1998/12/31,4.32,4.36,4.31,4.33,4.3,673850,2918370,1515500000,8443500000
sh600002,齐鲁石化,1999/1/4,4.31,4.42,4.27,4.3,4.33,568500,2466238,1505000000,8385000000
sh600002,齐鲁石化,1999/1/5,4.3,4.3,4.2,4.25,4.3,875500,3711168,1487500000,8287500000
sh600002,齐鲁石化,1999/1/6,4.26,4.31,4.25,4.27,4.25,574500,2456470,1494500000,8326500000
sh600002,齐鲁石化,1999/1/7,4.27,4.35,4.23,4.3,4.27,513150,2191912,1505000000,8385000000
sh600002,齐鲁石化,1999/1/8,4.34,4.38,4.27,4.36,4.3,945700,4101222,1526000000,8502000000
sh600002,齐鲁石化,1999/1/11,4.34,4.39,4.32,4.36,4.36,627850,2729424,1526000000,8502000000
sh600002,齐鲁石化,1999/1/12,4.35,4.38,4.29,4.3,4.36,700400,3021188,1505000000,8385000000
sh600002,齐鲁石化,1999/1/13,4.33,4.42,4.27,4.35,4.3,1457058,6320653,1522500000,8482500000
sh600002,齐鲁石化,1999/1/14,4.35,4.42,4.31,4.33,4.35,545890,2379758,1515500000,8443500000
sh600002,齐鲁石化,1999/1/15,4.4,4.56,4.4,4.49,4.33,7258553,32732123,1571500000,8755500000
sh600002,齐鲁石化,1999/1/18,4.51,4.53,4.45,4.51,4.49,2532639,11386597,1578500000,8794500000
sh600002,齐鲁石化,1999/1/19,4.5,4.52,4.44,4.47,4.51,1630600,7299020,1564500000,8716500000
sh600002,齐鲁石化,1999/1/20,4.47,4.64,4.45,4.47,4.47,2406852,10981195,1564500000,8716500000
sh600002,齐鲁石化,1999/1/21,4.47,4.5,4.44,4.49,4.47,1179709,5267475,1571500000,8755500000
sh600002,齐鲁石化,1999/1/22,4.51,4.62,4.45,4.53,4.49,2403030,10920882,1585500000,8833500000
sh600002,齐鲁石化,1999/1/25,4.55,4.63,4.47,4.47,4.53,2782808,12681899,1564500000,8716500000
sh600002,齐鲁石化,1999/1/26,4.48,4.49,4.38,4.4,4.47,1642800,7278425,1540000000,8580000000
sh600002,齐鲁石化,1999/1/27,4.4,4.46,4.38,4.43,4.4,1217200,5380567,1550500000,8638500000
sh600002,齐鲁石化,1999/1/28,4.43,4.45,4.34,4.38,4.43,1183850,5196460,1533000000,8541000000
sh600002,齐鲁石化,1999/1/29,4.4,4.4,4.34,4.37,4.38,959640,4185168,1529500000,8521500000
sh600002,齐鲁石化,1999/2/1,4.37,4.37,4.28,4.3,4.37,1205500,5194891,1505000000,8385000000
sh600002,齐鲁石化,1999/2/2,4.3,4.34,4.29,4.32,4.3,580215,2501215,1512000000,8424000000
sh600002,齐鲁石化,1999/2/3,4.32,4.32,4.27,4.27,4.32,787100,3375499,1494500000,8326500000
sh600002,齐鲁石化,1999/2/4,4.28,4.36,4.23,4.26,4.27,1179891,5018305,1491000000,8307000000
sh600002,齐鲁石化,1999/2/5,4.25,4.25,4.17,4.19,4.26,1484900,6246695,1466500000,8170500000
sh600002,齐鲁石化,1999/2/8,4.18,4.19,4.12,4.13,4.19,1009100,4189977,1445500000,8053500000
sh600002,齐鲁石化,1999/2/9,4.15,4.28,4.15,4.2,4.13,1049284,4385912,1470000000,8190000000
sh600002,齐鲁石化,1999/3/1,4.2,4.26,4.16,4.23,4.2,676150,2846906,1480500000,8248500000
sh600002,齐鲁石化,1999/3/2,4.23,4.26,4.2,4.24,4.23,416400,1759661,1484000000,8268000000
sh600002,齐鲁石化,1999/3/3,4.24,4.32,4.21,4.31,4.24,1057004,4533687,1508500000,8404500000
sh600002,齐鲁石化,1999/3/4,4.31,4.32,4.26,4.27,4.31,606400,2597250,1494500000,8326500000
sh600002,齐鲁石化,1999/3/5,4.35,4.35,4.27,4.3,4.27,654201,2817567,1505000000,8385000000
sh600002,齐鲁石化,1999/3/8,4.3,4.35,4.25,4.34,4.3,949994,4063860,1519000000,8463000000
sh600002,齐鲁石化,1999/3/9,4.32,4.33,4.28,4.29,4.34,626750,2692124,1501500000,8365500000
sh600002,齐鲁石化,1999/3/10,4.3,4.3,4.24,4.29,4.29,765496,3270820,1501500000,8365500000
sh600002,齐鲁石化,1999/3/11,4.27,4.34,4.25,4.31,4.29,1129597,4864246,1508500000,8404500000
sh600002,齐鲁石化,1999/3/12,4.32,4.38,4.28,4.33,4.31,1690413,7310203,1515500000,8443500000
sh600002,齐鲁石化,1999/3/15,4.33,4.37,4.31,4.33,4.33,1265100,5492754,1515500000,8443500000
sh600002,齐鲁石化,1999/3/16,4.33,4.48,4.27,4.44,4.33,3304394,14486777,1554000000,8658000000
sh600002,齐鲁石化,1999/3/17,4.45,4.78,4.4,4.53,4.44,10958167,50263705,1585500000,8833500000
sh600002,齐鲁石化,1999/3/18,4.52,4.57,4.45,4.45,4.53,3685561,16580906,1557500000,8677500000
sh600002,齐鲁石化,1999/3/19,4.45,4.6,4.4,4.58,4.45,4087221,18412215,1603000000,8931000000
sh600002,齐鲁石化,1999/3/22,4.6,4.77,4.6,4.71,4.58,10778137,50667701,1648500000,9184500000
sh600002,齐鲁石化,1999/3/23,4.7,4.72,4.59,4.64,4.71,2921725,13512740,1624000000,9048000000
sh600002,齐鲁石化,1999/3/24,4.64,4.68,4.54,4.55,4.64,2023700,9283683,1592500000,8872500000
sh600002,齐鲁石化,1999/3/25,4.55,4.58,4.48,4.48,4.55,1846700,8363864,1568000000,8736000000
sh600002,齐鲁石化,1999/3/26,4.47,4.55,4.46,4.54,4.48,1607920,7230142,1589000000,8853000000
sh600002,齐鲁石化,1999/3/29,4.54,4.63,4.5,4.6,4.54,2020939,9244426,1610000000,8970000000
