code,tradeStatus,code_name,date,codenumber
sh.000847,1,中证腾讯济安价值100A股指数,2023-09-21,000847
sh.000849,1,沪深300非银行金融指数,2023-09-21,000849
sh.000851,1,百发100指数,2023-09-21,000851
sh.000852,1,中证1000指数,2023-09-21,000852
sh.000853,1,中证申万一带一路主题投资指数,2023-09-21,000853
sh.000854,1,中证500原材料指数,2023-09-21,000854
sh.000855,1,央视财经500指数,2023-09-21,000855
sh.000856,1,中证500工业指数,2023-09-21,000856
sh.000857,1,中证500医药卫生指数,2023-09-21,000857
sh.000858,1,中证500信息技术指数,2023-09-21,000858
sh.000901,1,中证南方小康产业指数,2023-09-21,000901
sh.000903,1,中证100指数,2023-09-21,000903
sh.000904,1,中证200指数,2023-09-21,000904
sh.000905,1,中证500指数,2023-09-21,000905
sh.000906,1,中证800指数,2023-09-21,000906
sh.000908,1,沪深300能源(一级行业)指数,2023-09-21,000908
sh.000909,1,沪深300原材料(一级行业)指数,2023-09-21,000909
sh.000910,1,沪深300工业指数,2023-09-21,000910
sh.000911,1,沪深300可选消费指数,2023-09-21,000911
sh.000912,1,沪深300主要消费指数,2023-09-21,000912
sh.000913,1,沪深300医药卫生指数,2023-09-21,000913
sh.000914,1,沪深300金融地产指数,2023-09-21,000914
sh.000917,1,沪深300公用事业(一级行业)指数,2023-09-21,000917
sh.000918,1,沪深300成长指数,2023-09-21,000918
sh.000919,1,沪深300价值指数,2023-09-21,000919
sh.000922,1,中证红利指数,2023-09-21,000922
sh.000925,1,中证锐联基本面50指数,2023-09-21,000925
sh.000928,1,中证能源指数,2023-09-21,000928
sh.000931,1,中证可选消费指数,2023-09-21,000931
sh.000932,1,中证主要消费指数,2023-09-21,000932
sh.000933,1,中证医药卫生指数,2023-09-21,000933
sh.000934,1,中证金融地产指数,2023-09-21,000934
sh.000935,1,中证信息技术指数,2023-09-21,000935
sh.000939,1,中证民企成长指数,2023-09-21,000939
sh.000940,1,中证财富大盘指数,2023-09-21,000940
sh.000944,1,中证内地资源主题指数,2023-09-21,000944
sh.000950,1,沪深300基建主题指数,2023-09-21,000950
sh.000951,1,沪深300银行指数,2023-09-21,000951
sh.000952,1,沪深300地产指数,2023-09-21,000952
sh.000957,1,沪深300运输指数,2023-09-21,000957
sh.000958,1,中证创业成长指数,2023-09-21,000958
sh.000959,1,银河99,2023-09-21,000959
sh.000961,1,中证上游资源产业指数,2023-09-21,000961
sh.000963,1,中证下游消费与服务产业指数,2023-09-21,000963
sh.000964,1,中证新兴产业指数,2023-09-21,000964
sh.000966,1,中证锐联基本面400指数,2023-09-21,000966
sh.000969,1,沪深300非周期行业指数,2023-09-21,000969
sh.000971,1,等权90,2023-09-21,000971
sh.000974,1,中证800金融,2023-09-21,000974
sh.000975,1,中证钱江30指数,2023-09-21,000975
sh.000977,1,中证内地低碳经济主题指数,2023-09-21,000977
sh.000978,1,中证医药100指数,2023-09-21,000978
sh.000979,1,中证大宗商品股票指数,2023-09-21,000979
sh.000982,1,中证500等权重指数,2023-09-21,000982
sh.000984,1,沪深300等权重指数,2023-09-21,000984
sh.000986,1,中证全指能源指数,2023-09-21,000986
sh.000987,1,中证全指原材料指数,2023-09-21,000987
sh.000989,1,中证全指可选消费指数,2023-09-21,000989
sh.000990,1,中证全指主要消费指数,2023-09-21,000990
sh.000991,1,中证全指医药卫生指数,2023-09-21,000991
sh.000992,1,全指金融,2023-09-21,000992
sh.000993,1,中证全指信息技术指数,2023-09-21,000993
sh.000998,1,中证TMT产业主题指数,2023-09-21,000998
sh.600000,1,浦发银行,2023-09-21,600000
sh.600004,1,白云机场,2023-09-21,600004
sh.600006,1,东风汽车,2023-09-21,600006
sh.600007,1,中国国贸,2023-09-21,600007
sh.600008,1,首创环保,2023-09-21,600008
sh.600009,1,上海机场,2023-09-21,600009
sh.600010,1,包钢股份,2023-09-21,600010
sh.600011,1,华能国际,2023-09-21,600011
sh.600012,1,皖通高速,2023-09-21,600012
sh.600015,1,华夏银行,2023-09-21,600015
sh.600016,1,民生银行,2023-09-21,600016
sh.600017,1,日照港,2023-09-21,600017
sh.600018,1,上港集团,2023-09-21,600018
